,cell_type
i605,U-937(pSCoPE_Leduc)
i607,Melanoma(pSCoPE_Leduc)
i608,Melanoma(pSCoPE_Leduc)
i609,Melanoma(pSCoPE_Leduc)
i610,Melanoma(pSCoPE_Leduc)
i611,Melanoma(pSCoPE_Leduc)
i612,Melanoma(pSCoPE_Leduc)
i617,U-937(pSCoPE_Leduc)
i618,U-937(pSCoPE_Leduc)
i619,U-937(pSCoPE_Leduc)
i62,Melanoma(pSCoPE_Leduc)
i620,U-937(pSCoPE_Leduc)
i621,U-937(pSCoPE_Leduc)
i622,U-937(pSCoPE_Leduc)
i624,Melanoma(pSCoPE_Leduc)
i625,Melanoma(pSCoPE_Leduc)
i626,Melanoma(pSCoPE_Leduc)
i628,Melanoma(pSCoPE_Leduc)
i629,Melanoma(pSCoPE_Leduc)
i63,Melanoma(pSCoPE_Leduc)
i630,U-937(pSCoPE_Leduc)
i635,U-937(pSCoPE_Leduc)
i636,U-937(pSCoPE_Leduc)
i637,U-937(pSCoPE_Leduc)
i638,U-937(pSCoPE_Leduc)
i639,U-937(pSCoPE_Leduc)
i64,Melanoma(pSCoPE_Leduc)
i641,Melanoma(pSCoPE_Leduc)
i642,Melanoma(pSCoPE_Leduc)
i643,Melanoma(pSCoPE_Leduc)
i644,Melanoma(pSCoPE_Leduc)
i645,Melanoma(pSCoPE_Leduc)
i646,Melanoma(pSCoPE_Leduc)
i647,U-937(pSCoPE_Leduc)
i648,U-937(pSCoPE_Leduc)
i65,Melanoma(pSCoPE_Leduc)
i653,Melanoma(pSCoPE_Leduc)
i654,Melanoma(pSCoPE_Leduc)
i655,Melanoma(pSCoPE_Leduc)
i656,Melanoma(pSCoPE_Leduc)
i657,Melanoma(pSCoPE_Leduc)
i658,Melanoma(pSCoPE_Leduc)
i66,U-937(pSCoPE_Leduc)
i660,U-937(pSCoPE_Leduc)
i661,U-937(pSCoPE_Leduc)
i662,U-937(pSCoPE_Leduc)
i663,U-937(pSCoPE_Leduc)
i664,U-937(pSCoPE_Leduc)
i665,U-937(pSCoPE_Leduc)
i67,U-937(pSCoPE_Leduc)
i671,Melanoma(pSCoPE_Leduc)
i672,Melanoma(pSCoPE_Leduc)
i673,Melanoma(pSCoPE_Leduc)
i674,Melanoma(pSCoPE_Leduc)
i675,Melanoma(pSCoPE_Leduc)
i676,Melanoma(pSCoPE_Leduc)
i677,U-937(pSCoPE_Leduc)
i678,U-937(pSCoPE_Leduc)
i679,U-937(pSCoPE_Leduc)
i68,U-937(pSCoPE_Leduc)
i680,U-937(pSCoPE_Leduc)
i681,U-937(pSCoPE_Leduc)
i682,U-937(pSCoPE_Leduc)
i684,Melanoma(pSCoPE_Leduc)
i689,Melanoma(pSCoPE_Leduc)
i690,Melanoma(pSCoPE_Leduc)
i691,Melanoma(pSCoPE_Leduc)
i692,Melanoma(pSCoPE_Leduc)
i693,Melanoma(pSCoPE_Leduc)
i694,U-937(pSCoPE_Leduc)
i695,U-937(pSCoPE_Leduc)
i696,U-937(pSCoPE_Leduc)
i697,U-937(pSCoPE_Leduc)
i698,U-937(pSCoPE_Leduc)
i7,U-937(pSCoPE_Leduc)
i70,U-937(pSCoPE_Leduc)
i701,Melanoma(pSCoPE_Leduc)
i702,Melanoma(pSCoPE_Leduc)
i707,Melanoma(pSCoPE_Leduc)
i708,Melanoma(pSCoPE_Leduc)
i709,Melanoma(pSCoPE_Leduc)
i71,U-937(pSCoPE_Leduc)
i710,Melanoma(pSCoPE_Leduc)
i711,U-937(pSCoPE_Leduc)
i712,U-937(pSCoPE_Leduc)
i713,U-937(pSCoPE_Leduc)
i714,U-937(pSCoPE_Leduc)
i715,U-937(pSCoPE_Leduc)
i716,U-937(pSCoPE_Leduc)
i718,Melanoma(pSCoPE_Leduc)
i719,Melanoma(pSCoPE_Leduc)
i720,Melanoma(pSCoPE_Leduc)
i725,Melanoma(pSCoPE_Leduc)
i726,Melanoma(pSCoPE_Leduc)
i727,Melanoma(pSCoPE_Leduc)
i728,U-937(pSCoPE_Leduc)
i729,U-937(pSCoPE_Leduc)
i730,U-937(pSCoPE_Leduc)
i731,U-937(pSCoPE_Leduc)
i732,U-937(pSCoPE_Leduc)
i733,U-937(pSCoPE_Leduc)
i734,U-937(pSCoPE_Leduc)
i736,Melanoma(pSCoPE_Leduc)
i737,Melanoma(pSCoPE_Leduc)
i738,Melanoma(pSCoPE_Leduc)
i743,U-937(pSCoPE_Leduc)
i77,Melanoma(pSCoPE_Leduc)
i779,Melanoma(pSCoPE_Leduc)
i78,Melanoma(pSCoPE_Leduc)
i780,U-937(pSCoPE_Leduc)
i781,U-937(pSCoPE_Leduc)
i782,U-937(pSCoPE_Leduc)
i783,U-937(pSCoPE_Leduc)
i784,U-937(pSCoPE_Leduc)
i786,U-937(pSCoPE_Leduc)
i788,Melanoma(pSCoPE_Leduc)
i789,Melanoma(pSCoPE_Leduc)
i79,Melanoma(pSCoPE_Leduc)
i790,Melanoma(pSCoPE_Leduc)
i791,Melanoma(pSCoPE_Leduc)
i792,Melanoma(pSCoPE_Leduc)
i797,U-937(pSCoPE_Leduc)
i798,U-937(pSCoPE_Leduc)
i799,U-937(pSCoPE_Leduc)
i8,U-937(pSCoPE_Leduc)
i80,Melanoma(pSCoPE_Leduc)
i800,U-937(pSCoPE_Leduc)
i801,U-937(pSCoPE_Leduc)
i803,Melanoma(pSCoPE_Leduc)
i804,Melanoma(pSCoPE_Leduc)
i805,Melanoma(pSCoPE_Leduc)
i806,Melanoma(pSCoPE_Leduc)
i807,Melanoma(pSCoPE_Leduc)
i808,Melanoma(pSCoPE_Leduc)
i809,U-937(pSCoPE_Leduc)
i81,Melanoma(pSCoPE_Leduc)
i810,U-937(pSCoPE_Leduc)
i815,Melanoma(pSCoPE_Leduc)
i816,Melanoma(pSCoPE_Leduc)
i817,Melanoma(pSCoPE_Leduc)
i818,Melanoma(pSCoPE_Leduc)
i819,Melanoma(pSCoPE_Leduc)
i820,Melanoma(pSCoPE_Leduc)
i821,U-937(pSCoPE_Leduc)
i822,U-937(pSCoPE_Leduc)
i823,U-937(pSCoPE_Leduc)
i824,U-937(pSCoPE_Leduc)
i826,U-937(pSCoPE_Leduc)
i828,Melanoma(pSCoPE_Leduc)
i83,U-937(pSCoPE_Leduc)
i834,U-937(pSCoPE_Leduc)
i835,U-937(pSCoPE_Leduc)
i836,U-937(pSCoPE_Leduc)
i837,U-937(pSCoPE_Leduc)
i838,U-937(pSCoPE_Leduc)
i839,U-937(pSCoPE_Leduc)
i84,U-937(pSCoPE_Leduc)
i841,Melanoma(pSCoPE_Leduc)
i842,Melanoma(pSCoPE_Leduc)
i843,Melanoma(pSCoPE_Leduc)
i844,Melanoma(pSCoPE_Leduc)
i845,Melanoma(pSCoPE_Leduc)
i85,U-937(pSCoPE_Leduc)
i86,U-937(pSCoPE_Leduc)
i869,U-937(pSCoPE_Leduc)
i870,U-937(pSCoPE_Leduc)
i871,U-937(pSCoPE_Leduc)
i872,U-937(pSCoPE_Leduc)
i875,Melanoma(pSCoPE_Leduc)
i876,Melanoma(pSCoPE_Leduc)
i877,Melanoma(pSCoPE_Leduc)
i879,Melanoma(pSCoPE_Leduc)
i88,U-937(pSCoPE_Leduc)
i880,Melanoma(pSCoPE_Leduc)
i881,U-937(pSCoPE_Leduc)
i882,U-937(pSCoPE_Leduc)
i887,Melanoma(pSCoPE_Leduc)
i888,Melanoma(pSCoPE_Leduc)
i889,Melanoma(pSCoPE_Leduc)
i892,Melanoma(pSCoPE_Leduc)
i893,Melanoma(pSCoPE_Leduc)
i894,U-937(pSCoPE_Leduc)
i896,U-937(pSCoPE_Leduc)
i897,U-937(pSCoPE_Leduc)
i898,U-937(pSCoPE_Leduc)
i899,U-937(pSCoPE_Leduc)
i9,U-937(pSCoPE_Leduc)
i90,Melanoma(pSCoPE_Leduc)
i905,Melanoma(pSCoPE_Leduc)
i906,Melanoma(pSCoPE_Leduc)
i907,Melanoma(pSCoPE_Leduc)
i908,Melanoma(pSCoPE_Leduc)
i909,Melanoma(pSCoPE_Leduc)
i910,Melanoma(pSCoPE_Leduc)
i911,U-937(pSCoPE_Leduc)
i912,U-937(pSCoPE_Leduc)
i913,U-937(pSCoPE_Leduc)
i914,U-937(pSCoPE_Leduc)
i915,U-937(pSCoPE_Leduc)
i916,U-937(pSCoPE_Leduc)
i923,Melanoma(pSCoPE_Leduc)
i924,Melanoma(pSCoPE_Leduc)
i925,Melanoma(pSCoPE_Leduc)
i926,Melanoma(pSCoPE_Leduc)
i927,Melanoma(pSCoPE_Leduc)
i928,U-937(pSCoPE_Leduc)
i929,U-937(pSCoPE_Leduc)
i930,U-937(pSCoPE_Leduc)
i931,U-937(pSCoPE_Leduc)
i932,U-937(pSCoPE_Leduc)
i933,U-937(pSCoPE_Leduc)
i935,Melanoma(pSCoPE_Leduc)
i936,Melanoma(pSCoPE_Leduc)
i941,Melanoma(pSCoPE_Leduc)
i942,Melanoma(pSCoPE_Leduc)
i943,Melanoma(pSCoPE_Leduc)
i944,Melanoma(pSCoPE_Leduc)
i945,U-937(pSCoPE_Leduc)
i946,U-937(pSCoPE_Leduc)
i947,U-937(pSCoPE_Leduc)
i949,U-937(pSCoPE_Leduc)
i95,Melanoma(pSCoPE_Leduc)
i950,U-937(pSCoPE_Leduc)
i953,Melanoma(pSCoPE_Leduc)
i954,Melanoma(pSCoPE_Leduc)
i959,Melanoma(pSCoPE_Leduc)
i96,Melanoma(pSCoPE_Leduc)
i960,Melanoma(pSCoPE_Leduc)
i962,U-937(pSCoPE_Leduc)
i963,U-937(pSCoPE_Leduc)
i964,U-937(pSCoPE_Leduc)
i965,U-937(pSCoPE_Leduc)
i967,U-937(pSCoPE_Leduc)
i968,U-937(pSCoPE_Leduc)
i969,Melanoma(pSCoPE_Leduc)
i97,Melanoma(pSCoPE_Leduc)
i970,Melanoma(pSCoPE_Leduc)
i971,Melanoma(pSCoPE_Leduc)
i978,U-937(pSCoPE_Leduc)
i979,U-937(pSCoPE_Leduc)
i98,Melanoma(pSCoPE_Leduc)
i980,U-937(pSCoPE_Leduc)
i981,U-937(pSCoPE_Leduc)
i983,U-937(pSCoPE_Leduc)
i984,U-937(pSCoPE_Leduc)
i987,Melanoma(pSCoPE_Leduc)
i988,Melanoma(pSCoPE_Leduc)
i989,Melanoma(pSCoPE_Leduc)
i99,Melanoma(pSCoPE_Leduc)
i995,U-937(pSCoPE_Leduc)
i996,U-937(pSCoPE_Leduc)
i997,U-937(pSCoPE_Leduc)
i998,U-937(pSCoPE_Leduc)
i999,U-937(pSCoPE_Leduc)
